"key","value","index"
"30-W40",0.6,16
"30-W40",0.8,17
"30-W40",0.55,18
"30-W40",0.9,19
"30-W40",1,20
"30-W40",0.9,21
"30-W40",0.9,22
"30-W40",0.55,23
"30-W40",0.75,24
"30-W40",0.6,25
"30-W40",0.75,26
"30-W40",0.6,27
"30-W40",0.6,28
"30-W40",0.6,29
"30-W40",0.65,30
"30-W40",0.85,31
"30-W40",0.85,32
"30-W40",0.85,33
"30-W40",0.85,34
"30-W40",1,35
"30-W40",0.2,36
"30-W40",1.1,37
"30-W40",1.1,38
"30-W40",1.1,39
"30-W40",0.95,40
"30-W40",0.95,41
"30-W40",0.85,42
"30-W40",1,43
"30-W40",0.971,44
"30-W40",0.971,45
"30-W40",0.8,46
"30-W40",0.971,47
"30-W40",0.85,48
"30-W40",0.85,49
"30-W40",0.85,50
"30-W40",0.65,51
"30-W40",0.9,52
"30-W40",0.9,53
"30-W40",0.9,54
"30-W40",0.9,55
"30-W40",0.9,56
"30-W40",0.9,57
"30-W40",0.95,58
"30-W40",0.95,59
"30-W40",0.95,60
"30-W40",0.95,61
"30-W40",0.95,62
"30-W40",0.95,63
"30-W40",0.9,64
"30-W40",0.9,65
"30-W40",0,66
"30-W40",1.1,67
"30-W40",0.75,68
"30-W40",1.1,69
"30-W40",1.1,70
"30-W40",1.1,71
"30-W40",1.1,72
"30-W40",0.975,73
"30-W40",0.975,74
"30-W40",0.975,75
"30-W40",0.975,76
"30-W40",0.975,77
"30-W40",0.975,78
"30-W40",0.975,79
"30-W40",0.975,80
"31-W21",0,1
"31-W21",0,2
"31-W21",0,3
"31-W21",0,4
"31-W21",0,5
"31-W21",0,6
"31-W21",0,7
"31-W21",0,8
"31-W21",0,9
"31-W21",0,10
"31-W21",0,11
"31-W21",0,12
"31-W21",0,13
"31-W21",0,14
"31-W21",0,15
"31-W21",0,16
"31-W21",0,17
"31-W21",0,18
"31-W21",0,19
"31-W21",0,20
"31-W21",0,21
"31-W21",0,22
"31-W21",0,23
"31-W21",0,24
"31-W21",0,25
"31-W21",0,26
"31-W21",0,27
"31-W21",0,28
"31-W21",0,29
"31-W21",0,30
"31-W21",0,31
"31-W21",0,32
"31-W21",0,33
"31-W21",0,34
"31-W21",0,35
"31-W21",0,36
"31-W21",0,37
"31-W21",0,38
"31-W21",0,39
"31-W21",0,40
"31-W21",0,41
"31-W21",0,42
"31-W21",0,43
"31-W21",0,44
"31-W21",0,45
"31-W21",0,46
"31-W21",0,47
"31-W21",0,48
"31-W21",0,49
"31-W21",0,50
"31-W21",0,51
"31-W21",0,52
"31-W21",0,53
"31-W21",0,54
"31-W21",0,55
"31-W21",0,56
"31-W21",0,57
"31-W21",0,58
"31-W21",0,59
"31-W21",0,60
"31-W21",0,61
"31-W21",0,62
"31-W21",0,63
"31-W21",0,64
"31-W21",0,65
"31-W21",0,66
"31-W21",0,67
"31-W21",0,68
"31-W21",0,69
"31-W21",0,70
"31-W21",0,71
"31-W21",0,72
"31-W21",0,73
"31-W21",0,74
"31-W21",0,75
"31-W21",0,76
"31-W21",0,77
"31-W21",0,78
"31-W21",0,79
"31-W21",0,80
"32-W30",0.8,1
"32-W30",0.877,2
"32-W30",0.8,3
"32-W30",0.9,4
"32-W30",0.9,5
"32-W30",1,6
"32-W30",0.9,7
"32-W30",0.9,8
"32-W30",0.9,9
"32-W30",0.9,10
"32-W30",0.9,11
"32-W30",0.5,12
"32-W30",1,13
"32-W30",0.7,14
"32-W30",0.7,15
"32-W30",1,16
"32-W30",0.65,17
"32-W30",0.65,18
"32-W30",0.85,19
"32-W30",0.85,20
"32-W30",0.85,21
"32-W30",0.85,22
"32-W30",0.85,23
"32-W30",0.85,24
"32-W30",0.877,25
"32-W30",0.877,26
"32-W30",0.95,27
"32-W30",0.95,28
"32-W30",0.85,29
"32-W30",0.85,30
"32-W30",1,31
"32-W30",1,32
"32-W30",0.9,33
"32-W30",0.9,34
"32-W30",0.877,35
"32-W30",0.877,36
"32-W30",0.877,37
"32-W30",1,38
"32-W30",0.85,39
"32-W30",0.85,40
"32-W30",0.85,41
"32-W30",0.85,42
"32-W30",0.85,43
"32-W30",0.85,44
"32-W30",0.85,45
"32-W30",0.85,46
"32-W30",0.85,47
"32-W30",0.85,48
"32-W30",0.85,49
"32-W30",0.85,50
"32-W30",0.85,51
"32-W30",0.85,52
"32-W30",0.85,53
"32-W30",0.85,54
"32-W30",1.1,55
"32-W30",1.1,56
"32-W30",0.9,57
"32-W30",0.8,58
"32-W30",0.8,59
"32-W30",0.8,60
"32-W30",0.8,61
"32-W30",0.8,62
"32-W30",0.8,63
"32-W30",0.8,64
"32-W30",0.8,65
"32-W30",0.8,66
"32-W30",0.8,67
"32-W30",0.8,68
"32-W30",0.8,69
"32-W30",0.85,70
"32-W30",0.9,71
"32-W30",0.9,72
"32-W30",0.877,73
"32-W30",0.877,74
"32-W30",0.877,75
