"name","demand","degree","strength","closeness","betweenness","eccentricity","tank_distance"
"11198",0.26783365,1,176.318,1.93045542709348e-09,0,376,141
"11199",0.12855957,2,123.722,1.91168653871245e-09,876,374,139
"112",0.35970646,2,364.52,1.82278910398369e-09,34214,366,149
"1120",0.07245276,4,1450.982,2.00130272662735e-09,245144,366,131
"11200",0.51772416,2,288.046,1.92804470008832e-09,14996,377,142
"11201",0.25886208,1,245.943,1.91443129457611e-09,0,378,143
"11202",0.83905093,2,715.204,1.95133484718662e-09,74760,369,134
"11203",0,2,377.857,1.93262110784186e-09,60809,368,133
"11204",0,2,215.124,1.91898475871179e-09,14996,371,136
"11205",0,1,94.892,1.9137588265947e-09,0,372,137
"11206",0.31560504,2,299.508,1.93805929453786e-09,15379,369,134
"11207",0.31560504,2,290.515,1.93088637030197e-09,446,369,134
"11208",0.31560504,2,249.523,1.93865931786874e-09,311,368,133
"11209",0.31560504,2,173.771,1.94348648301997e-09,14975,367,132
"1121",0,2,1187.871,1.95048546414295e-09,75733,367,132
"11210",0.26204954,2,324.691,1.91649589640296e-09,15480,370,135
"11211",0.26204954,2,351.516,1.90614001395792e-09,543,371,136
"11212",0.26204954,2,287.986,1.90704850729565e-09,376,371,136
"11213",0.26204954,2,264.431,1.91379779920154e-09,15010,370,135
"11214",0.26204954,2,239.937,1.92127370976649e-09,29830,369,134
"11215",0.26204954,2,186.396,1.92691431402101e-09,44802,368,133
"11216",0.32115229,2,173.127,1.92253878610248e-09,44982,369,134
"11217",0.32115229,2,159.519,1.91651132369382e-09,29990,370,135
"11218",0.32115229,2,231.365,1.91373948406248e-09,14996,371,136
"11219",0.16057615,1,180.962,1.90385215798658e-09,0,372,137
"1122",0.20799621,3,300.811,1.92926462401688e-09,46085,369,134
"11220",0.74169097,2,275.463,2.07805505424256e-09,30038,326,14
"11221",0.74169097,2,245.972,2.07016590348808e-09,15203,327,15
"11222",0.74169097,2,596.975,2.06242332922876e-09,387,328,16
"11223",1.29455695,2,290.913,2.08121283198052e-09,15917,325,13
"11224",0.61839305,2,473.643,2.08186985089054e-09,15357,325,13
"11225",0.61839305,2,368.895,2.09164662300848e-09,30160,324,12
"11226",0.61839305,2,257.68,2.10584321900111e-09,44996,323,11
"11227",0.57100215,2,493.051,2.1055745749447e-09,29957,322,10
"11228",0.57100215,2,439.473,2.08981067768689e-09,15154,323,11
"11229",0.57100215,2,339.638,2.07714531345953e-09,377,324,12
"1123",0,2,185.194,1.92564646775805e-09,29990,370,135
"11230",0.57100215,2,261.035,2.0753091888811e-09,481,325,13
"11231",0.1032552,1,138.281,2.0652958793408e-09,0,325,13
"11232",0.21483409,2,224.722,2.08774492010878e-09,47551,322,10
"11233",0.19387884,2,142.967,2.11757908629449e-09,14996,326,14
"11234",0.09693942,1,60.777,2.11350005915988e-09,0,327,15
"11235",0.43476678,2,566.259,2.12379125180938e-09,151271,317,5
"11236",0.55292188,2,175.369,2.1309840489501e-09,22773,318,6
"11237",0.63252061,2,351.31,2.13653454823822e-09,310798,319,7
"11238",0.61174656,2,580.255,2.10452713740922e-09,1924,322,10
"11239",0.61174656,2,345.305,2.115503353953e-09,16599,323,11
"1124",0.92893687,3,804.446,1.97618373424280e-09,179248,366,131
"11240",0.19787683,2,192.604,2.14993825233651e-09,2931,323,11
"11241",0.45969045,4,466.49,2.14757773546325e-09,104807,326,14
"11242",0.77137848,2,657.332,2.19367060431099e-09,76509,326,14
"11243",1.05938736,2,364.597,2.21452243991019e-09,150133,324,12
"11244",0.38783488,2,376.334,2.16455130706876e-09,207986,330,18
"11245",0.38783488,2,113.621,2.15683423814561e-09,193248,329,17
"11246",0.21686337,2,159.447,2.1658918019661e-09,105134,334,23
"11247",0.21686337,2,171.253,2.17259590048725e-09,120085,333,22
"11248",0.21686337,2,135.979,2.1779692540044e-09,135035,332,21
"11249",0.21686337,2,152.371,2.18223347076935e-09,149983,331,20
"1125",1.25971025,3,1069.376,1.95993562690374e-09,104497,367,132
"11250",0.21686337,2,167.013,2.18882702348101e-09,164931,330,19
"11251",0.31040803,2,168.122,1.91907759834e-09,29990,373,138
"11252",0.31040803,2,255.534,1.9136826065093e-09,14996,374,139
"11253",0.15520402,1,157.56,1.90506866443331e-09,0,375,140
"11254",0.09885419,2,125.788,1.94921135097207e-09,6577,369,134
"11256",0.22342855,2,343.581,1.96048042028154e-09,65908,370,135
"11257",0.61627331,2,439.325,1.93618189022858e-09,3845,369,134
"11259",0.386192,2,314.508,1.90571096788409e-09,283841,375,140
"1126",1.25725022,3,814.17,1.92750120521696e-09,45509,368,133
"11260",0.386192,2,476.179,1.91472371850707e-09,298753,374,139
"11261",0.36290102,2,136.756,1.95832909791168e-09,150360,375,140
"11262",0.36290102,2,51.286,1.95620228345299e-09,135678,374,139
"11263",0.36290102,2,123.798,1.95544620903417e-09,121012,373,138
"11264",0.36290102,2,436.169,1.94937720589528e-09,106486,372,137
"11265",0.224554,1,165.295,1.93010854979796e-09,0,374,139
"11266",0.38019523,2,374.469,1.95536852343705e-09,18158,375,140
"11267",0.15599734,1,39.733,1.94353459112369e-09,0,371,136
"11268",0.15530554,2,81.853,1.94437874666106e-09,29990,372,137
"11269",0.15530554,2,162.05,1.94266888777488e-09,14996,373,138
"1127",0.31560504,2,385.456,1.94770963859712e-09,30319,368,133
"11270",0.07765277,1,131.86,1.93523491478407e-09,0,374,139
"11271",0.16856119,2,120.675,1.95334736226456e-09,21245,371,136
"11272",0.16856119,2,259.017,1.95651367180087e-09,35612,372,137
"11273",0.16856119,2,246.119,1.96766976649502e-09,50010,371,136
"11274",0.48721824,3,243.161,1.9701753722639e-09,93884,370,135
"11275",0.60000303,2,325.549,1.96185449789845e-09,11795,367,132
"11276",0.60000303,2,216.572,1.95985686522498e-09,11639,368,133
"11277",0.16922103,2,217.337,1.97511104938789e-09,107777,369,134
"11278",0.17707717,1,106.057,1.84473672830106e-09,0,384,149
"11279",0.22516316,2,403.885,2.0212629481048e-09,323767,369,134
"1128",0.26204954,2,199.369,1.92392845908833e-09,30422,369,134
"11280",0.28296097,2,222.449,2.01435331025832e-09,14996,370,135
"11281",0.14148048,1,147.761,2.00540229274083e-09,0,371,136
"11282",0.45393015,2,410.06,2.01351771770026e-09,169279,366,131
"11283",0.45393015,2,403.915,2.00214018310314e-09,154512,367,132
"11284",0.45393015,2,321.956,1.98980060504653e-09,139923,368,133
"11285",0.45393015,2,289.359,1.98354817686172e-09,125440,369,134
"11286",0.45393015,2,425.217,1.97337846966478e-09,111001,370,135
"11287",0.45393015,2,375.349,1.95974547131424e-09,96618,371,136
"11288",0.45393015,2,180.509,1.95260917833655e-09,82288,372,137
"11289",0.11774057,2,72.975,2.02897247079826e-09,412381,366,131
"1129",0.52044478,3,480.05,1.93162997683424e-09,134662,367,132
"11290",0.11774057,2,94.607,2.02615192458047e-09,397589,367,132
"11291",0.32588357,2,227.488,2.04384688134936e-09,225010,363,128
"11292",0.32588357,2,53.966,2.04501644158394e-09,239960,362,127
"11293",0.32588357,2,46.97,2.04722237151122e-09,254908,361,126
"11294",0.23462377,2,87.929,2.04356149177738e-09,670078,362,127
"11295",0.23462377,2,71.029,2.04639088976258e-09,684864,361,126
"11296",0.12870548,2,212.088,2.05549102423272e-09,1152619,358,123
"11297",0.12870548,2,122.304,2.04967519013508e-09,1137985,359,124
"11298",0.37055016,2,301.898,2.09797740401542e-09,24443,351,116
"11299",0.23661014,2,148.393,2.2100468319784e-09,44982,346,111
"113",0.37208374,2,343.784,1.84110635857437e-09,651179,364,147
"1130",0.32115229,2,163.326,1.926091893693e-09,59972,368,133
