"chain_id","vertex_name"
273,"10635"
273,"10634"
273,"10633"
274,"10636"
274,"240"
275,"249"
275,"248"
275,"10639"
275,"10638"
275,"10637"
276,"1064"
276,"11176"
276,"11177"
276,"11178"
276,"11179"
276,"1650"
276,"1651"
276,"11545"
277,"10641"
277,"10640"
278,"10642"
278,"254"
279,"10643"
279,"257"
280,"261"
280,"10644"
281,"10646"
281,"265"
282,"10648"
282,"10647"
283,"10652"
283,"10651"
283,"10650"
283,"10649"
284,"10655"
284,"275"
284,"274"
284,"10654"
284,"10653"
285,"10658"
285,"10657"
285,"10656"
286,"11181"
286,"11180"
286,"1067"
286,"1066"
287,"277"
287,"278"
287,"10660"
288,"267"
288,"279"
288,"10661"
289,"10663"
289,"10662"
290,"10665"
290,"10664"
291,"10671"
291,"10670"
291,"10669"
291,"10668"
291,"10667"
291,"10666"
292,"10674"
292,"10673"
292,"10672"
293,"10676"
293,"10675"
294,"10680"
294,"10679"
294,"10678"
295,"309"
295,"10682"
296,"10683"
296,"311"
296,"310"
296,"10682"
296,"309"
297,"10687"
297,"10686"
297,"10685"
297,"10684"
298,"10688"
298,"315"
299,"10690"
299,"10689"
300,"1069"
301,"10694"
301,"10693"
301,"10692"
302,"10696"
302,"327"
303,"10699"
303,"10698"
304,"10700"
304,"330"
304,"329"
305,"331"
305,"10702"
306,"10703"
306,"335"
307,"10707"
307,"10706"
307,"10705"
307,"10704"
308,"10710"
308,"10709"
308,"10708"
309,"10712"
309,"348"
310,"349"
310,"10714"
311,"10715"
311,"354"
312,"10717"
312,"10716"
313,"504"
313,"10723"
313,"10722"
313,"10721"
313,"10720"
313,"10719"
314,"360"
314,"10724"
315,"360"
315,"10724"
315,"363"
315,"364"
315,"10725"
316,"10729"
316,"10728"
316,"10727"
316,"10726"
317,"1073"
317,"11182"
317,"11183"
317,"11184"
318,"368"
318,"10731"
319,"10735"
319,"10734"
319,"10733"
319,"10732"
320,"10737"
320,"10736"
321,"374"
321,"10738"
322,"379"
322,"10739"
323,"10741"
323,"10740"
324,"10744"
324,"10743"
325,"390"
325,"10745"
326,"391"
326,"10746"
327,"394"
327,"10747"
328,"10749"
328,"10748"
329,"10753"
329,"10752"
329,"10751"
330,"10756"
330,"10755"
330,"10754"
331,"401"
331,"10757"
332,"10758"
332,"405"
332,"404"
332,"10760"
332,"406"
332,"403"
332,"402"
332,"10757"
332,"401"
333,"292"
333,"407"
333,"10761"
334,"10763"
334,"10762"
335,"10769"
335,"10768"
335,"10767"
335,"10766"
335,"10765"
335,"10764"
336,"1077"
337,"10771"
337,"10770"
338,"10773"
338,"421"
338,"420"
338,"410"
339,"10774"
339,"423"
340,"10775"
340,"425"
340,"424"
340,"419"
341,"450"
341,"10781"
341,"10780"
341,"10779"
341,"10778"
341,"10777"
341,"10776"
342,"10783"
342,"10782"
343,"10790"
343,"10789"
343,"10788"
343,"10787"
343,"10786"
343,"10785"
343,"10784"
344,"430"
344,"10791"
345,"430"
345,"10791"
345,"431"
345,"432"
345,"10792"
346,"435"
346,"434"
346,"10794"
346,"10793"
347,"10795"
347,"441"
348,"447"
348,"10796"
349,"10798"
349,"10797"
350,"10800"
350,"10799"
351,"10803"
351,"10802"
351,"10801"
352,"462"
352,"10804"
353,"10805"
353,"464"
354,"10807"
354,"10806"
355,"10809"
355,"10808"
356,"10812"
356,"10811"
356,"10810"
357,"10813"
357,"477"
358,"480"
358,"10819"
358,"10818"
358,"10817"
358,"10816"
358,"10815"
358,"10814"
359,"1082"
359,"11185"
360,"10823"
360,"10822"
360,"10821"
360,"10820"
361,"10824"
361,"486"
362,"10825"
362,"489"
363,"10826"
363,"490"
364,"493"
364,"10827"
365,"495"
365,"10828"
366,"10834"
366,"10833"
366,"10832"
366,"10831"
366,"10830"
366,"10829"
367,"1083"
367,"11186"
367,"1084"
367,"1085"
368,"10836"
368,"10835"
369,"10839"
369,"10838"
369,"10837"
370,"523"
370,"10843"
370,"10842"
370,"10841"
370,"10840"
371,"10844"
371,"522"
372,"524"
372,"10845"
373,"10847"
373,"10846"
374,"10848"
374,"538"
375,"10849"
375,"540"
376,"10850"
376,"549"
377,"552"
377,"10851"
378,"554"
378,"10852"
379,"10857"
379,"10856"
379,"10855"
379,"10854"
380,"10861"
380,"10860"
380,"10859"
380,"10858"
381,"1086"
382,"10863"
382,"10862"
383,"10865"
383,"10864"
384,"10868"
384,"10867"
384,"10866"
385,"10872"
385,"10871"
385,"10870"
385,"10869"
386,"10875"
386,"10874"
386,"10873"
387,"10876"
387,"580"
388,"10880"
388,"10879"
388,"584"
388,"583"
388,"10878"
388,"10877"
389,"1088"
389,"1235"
390,"10885"
390,"10884"
390,"10883"
390,"10882"
390,"10881"
391,"592"
391,"10887"
391,"10886"
392,"10889"
392,"10888"
393,"595"
393,"10890"
394,"10894"
394,"10893"
394,"10892"
394,"10891"
395,"10896"
395,"10895"
396,"609"
396,"10897"
397,"612"
397,"10898"
398,"10899"
398,"615"
398,"614"
399,"1090"
399,"1092"
399,"1093"
399,"11187"
399,"11188"
400,"624"
400,"10901"
401,"616"
401,"10903"
401,"10902"
402,"10904"
402,"631"
402,"630"
403,"623"
403,"10906"
404,"664"
404,"663"
404,"10909"
404,"10908"
404,"10907"
405,"10911"
405,"10910"
406,"10914"
406,"10913"
406,"10912"
407,"645"
407,"10919"
407,"10918"
407,"10917"
407,"10916"
407,"10915"
408,"10922"
408,"10921"
409,"10926"
409,"10925"
409,"10924"
409,"10923"
410,"10933"
410,"10932"
410,"10931"
410,"10930"
410,"10929"
410,"10928"
411,"668"
411,"10934"
412,"10938"
412,"10937"
412,"10936"
412,"10935"
413,"1094"
413,"11189"
413,"11190"
414,"678"
414,"10940"
415,"10941"
415,"683"
416,"10942"
416,"684"
417,"688"
417,"10943"
418,"10944"
418,"696"
419,"698"
419,"10946"
419,"10945"
420,"10948"
420,"10947"
421,"10952"
421,"10951"
421,"10950"
422,"704"
422,"10953"
423,"10954"
423,"705"
424,"707"
424,"708"
424,"10955"
425,"10956"
425,"710"
426,"10958"
426,"10957"
427,"10960"
427,"715"
427,"714"
428,"10961"
428,"719"
429,"10963"
429,"10962"
430,"728"
430,"10964"
431,"10966"
431,"733"
431,"732"
431,"10964"
431,"728"
432,"10967"
432,"735"
433,"10968"
433,"737"
434,"743"
434,"10970"
434,"10969"
435,"1097"
435,"1098"
435,"1099"
435,"11191"
436,"10971"
436,"740"
436,"738"
437,"742"
437,"10972"
438,"10975"
438,"10974"
438,"10973"
439,"10979"
439,"10978"
439,"10977"
439,"10976"
440,"10981"
440,"10980"
441,"750"
441,"10982"
442,"10984"
442,"10983"
443,"10994"
443,"10993"
443,"10992"
443,"10991"
443,"10990"
443,"10989"
443,"10988"
443,"10987"
443,"10986"
444,"760"
444,"10995"
445,"10998"
445,"10997"
445,"10996"
446,"769"
446,"10999"
447,"12"
447,"10433"
447,"10"
447,"11"
448,"10531"
448,"10530"
448,"110"
449,"11001"
449,"11000"
450,"11002"
450,"772"
451,"778"
451,"779"
451,"11004"
452,"11006"
452,"11005"
453,"798"
453,"11007"
454,"11009"
454,"11008"
455,"1101"
456,"11010"
456,"809"
457,"11013"
457,"11012"
458,"11018"
458,"11017"
458,"11016"
459,"836"
459,"11021"
459,"11020"
459,"11019"
460,"11023"
460,"11022"
461,"11025"
461,"11024"
462,"840"
462,"11030"
462,"11029"
462,"11028"
462,"11027"
462,"11026"
463,"1103"
463,"11192"
463,"11193"
464,"11031"
464,"850"
464,"849"
465,"855"
465,"11033"
466,"11035"
466,"11034"
467,"11038"
467,"11037"
468,"11041"
468,"11040"
468,"11039"
469,"880"
469,"11045"
469,"11044"
469,"11043"
469,"11042"
470,"11046"
470,"877"
471,"883"
471,"11047"
472,"885"
472,"11048"
473,"668"
473,"10934"
473,"888"
473,"887"
473,"11049"
